레시피ID,품목ID,레시피원료명,소모량,단위
R0046,P0058,깔라만시베이스,100.0,g
R0046,P0019,시럽,20.0,g
R0047,P0057,유자퓨레,120.0,g
R0048,P0057,유자퓨레,120.0,g
R0049,P0058,깔라만시베이스,100.0,g
R0049,P0050,탄산수,1.0,캔
R0050,P0038,빽다방 청포도 플라워향 에이드,100.0,g
R0050,P0050,탄산수,1.0,캔
R0051,P0030,자몽베이스,100.0,g
R0051,P0050,탄산수,1.0,캔
R0052,P0010,미초원액,100.0,ml
R0052,P0050,탄산수,1.0,캔
R0053,P0056,레몬베이스,100.0,g
R0053,P0050,탄산수,1.0,캔
R0054,P0057,유자퓨레,100.0,g
R0054,P0050,탄산수,1.0,캔
R0055,P0055,복숭아베이스,100.0,g
R0055,P0050,탄산수,1.0,캔
R0056,P0040,체리파우더,51.0,g
R0056,P0051,코카콜라,1.0,캔
R0057,P0053,멜론시럽,100.0,g
R0057,P0050,탄산수,1.0,캔
R0058,P0062,흑당시럽,50.0,g
R0058,P0027,타피오카펄,1.0,봉
R0058,P0046,우유,250.0,ml
R0059,P0062,흑당시럽,50.0,g
R0059,P0027,타피오카펄,1.0,봉
R0059,P0046,우유,250.0,ml
R0059,P0045,원두,9.25,g
R0060,P0062,흑당시럽,30.0,g
R0060,P0027,타피오카펄,1.0,봉
R0060,P0023,밀크티베이스,50.0,ml
R0060,P0048,생크림,50.0,ml
R0060,P0046,우유,150.0,ml
R0061,P0046,우유,200.0,ml
R0061,P0017,요거트파우더,34.0,g
R0061,P0019,시럽,50.0,g
R0061,P0003,냉동딸기,100.0,g
R0062,P0046,우유,200.0,ml
R0062,P0017,요거트파우더,85.0,g
R0063,P0046,우유,250.0,ml
R0063,P0007,냉동블루베리,150.0,g
R0063,P0017,요거트파우더,34.0,g
R0063,P0019,시럽,50.0,g
R0064,P0046,우유,200.0,ml
R0064,P0042,밀크파우더,96.0,g
R0065,P0045,원두,37.0,g
R0066,P0046,우유,375.0,ml
R0066,P0045,원두,37.0,g
R0067,P0046,우유,375.0,ml
R0067,P0016,바닐라파우더,75.0,g
R0067,P0045,원두,37.0,g
R0068,P0063,원조커피원액,225.0,ml
R0069,P0018,아이스티파우더,108.0,g
R0070,P0018,아이스티파우더,86.0,g
R0070,P0045,원두,18.5,g
R0071,P0046,우유,375.0,ml
R0071,P0049,초콜릿소스,120.0,g
R0072,P0009,식혜원액,175.0,ml
R0073,P0003,냉동딸기,190.0,g
R0073,P0019,시럽,30.0,g
R0073,P0046,우유,300.0,ml
R0074,P0041,미숫가루,80.0,g
R0074,P0019,시럽,80.0,g
R0001,P0068,종이컵 (HOT),1.0,EA
R0001,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0001,P0070,컵홀더 (HOT),1.0,EA
R0002,P0068,종이컵 (HOT),1.0,EA
R0002,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0002,P0070,컵홀더 (HOT),1.0,EA
R0003,P0071,아이스컵 (24oz),1.0,EA
R0003,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0003,P0073,컵홀더 (24oz),1.0,EA
R0003,P0074,일반 빨대,1.0,EA
R0004,P0068,종이컵 (HOT),1.0,EA
R0004,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0004,P0070,컵홀더 (HOT),1.0,EA
R0005,P0071,아이스컵 (24oz),1.0,EA
